filename,		lines of code,		number of commits,		date of first commit,		date of last commit
/Users/George/Documents/Programs/C/neovim/src/nvim
./misc1.c,					2851,					67,					May 12 2014,					May 25 2015
./ex_cmds2.c,				3410,					85,					May 12 2014,					Jun 29 2015
./misc2.c,					493,					30,					May 12 2014,					May 13 2015
./os/mem.c,					12,				    	3,					May 12 2014,					May 10 2014
./os/stream.c,				30,				    	2,					May 21 2015,					May 25 2015
./api/private/handle.c,		41,					     7,					May 23 2014,					Jul 13 2014
./po/sjiscorr.c,			45,					    3,					May 12 2014,					Dec 23 2014
./os/users.c,				83,				    	9,					May 12 2014,					Nov 26 2014
./os/dl.c,					87,				    	3,					Jun 2 2014, 					Jul 13 2014
./os/uv_helpers.c,			98,				    	5,					May 12 2014,					Jun 23 2014
./os/time.c,				105,					14,					May 12 2014,					Feb 23 2015
./os/pipe_process.c,		110,					2,					Feb 23 2015,					Apr 12 2015
./api/tabpage.c,			112,					15,					May 12 2014,					Jan 11 2015
./map.c,					120,					16,					May 12 2014,					Apr 12 2015
./tempfile.c,				138,					13,					Jun 22 2014,					Apr 20 2015
./log.c,					149,					6,					May 12 2014,					Jul 15 2014
./os/signal.c,				150,					17,					May 12 2014,					Apr 12 2015
./os/event.c,				177,					37,					May 12 2014,					May 20 2015
./garray.c,					200,					16,					May 12 2014,					Apr 12 2015
./cursor_shape.c,			213,					10,					May 12 2014,					Apr 22 2015
./rbuffer.c,				214,					2,					Jun 30 2015,					Jul 6 2015
./os/wstream.c,			    243,					26,					May 12 2014,					Apr 12 2015
./os/rstream.c,				253,					29,					May 12 2014,					Jun 30 2015
./sha256.c,					349,					11,					May 12 2014,					May 20 2015
./os/pty_process.c,			257,					7,					Feb 23 2015,					Apr 22 2015
./profile.c,				281,					4,					Jun 15 2014,					Jul 18 2014
./api/window.c,				302,					20,					May 12 2014,					Feb 23 2015
./msgpack_rpc/server.c,		336,					11,					Oct 20 2014,					May 3 2015
./msgpack_rpc/remote_ui.c,	343,					18,					Dec 8 2014,	    				Apr 12 2015
./os/input.c,				375,					47,					May 12 2014,					Jun 30 2015
./hashtab.c,				384,					16,					May 12 2014,					Apr 12 2015
./msgpack_rpc/helpers.c,	449,					10,					Oct 20 2014,					Jun 16 2015
./cursor.c,					471,					10,					May 2 2014,     				Jun 26 2014
./os/job.c,					472,					48,					May 12 2014,					Jun 30 2015
./os/shell.c,				477,					34,					May 12 2014,					Jun 30 2015
./strings.c,				498,					31,					May 12 2014,					Apr 26 2015
./ui.c,					    500,					62,					May 12 2014,					May 9 2015
./mouse.c,					505,					6,					Nov 27 2014,					Feb 16 2015
./os/fs.c,					547,					39,					May 12 2014,					May 20 2015
./api/buffer.c,				564,					42,					May 12 2014,					Jun 16 2015
./api/vim.c,				601,					52,					May 12 2014,					May 13 2015
./memory.c,					610,					41,					May 12 2014,					May 13 2015
./os/env.c,					672,					23,					May 12 2014,					May 3 2015
./os_unix.c,				689,					72,					May 12 2014,					May 25 2015
./popupmnu.c,				695,					16,					May 12 2014,					Apr 12 2015
./indent.c,					766,					19,					May 12 2014,					Apr 23 2015
./api/private/helpers.c,	806,					31,					May 23 2014,					Jun 16 2015
./msgpack_rpc/channel.c,	849,					49,					Oct 20 2014,					Jun 30 2015
